City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
404,90,CA,1619619515,93,47.6666,-52.7314,46.0,19.57
405,100,KZ,1619619516,30,43.3,52.8,79.97,6.02
406,100,AU,1619619516,94,-37.8811,147.981,50.0,3.67
407,75,ES,1619619517,64,28.6585,-17.9182,71.6,5.75
408,0,EG,1619619371,70,31.2565,32.2841,68.83,13.65
409,100,RU,1619619518,66,67.6713,53.087,28.08,5.5
410,5,NA,1619619519,16,-20.3667,14.9667,90.39,6.4
411,75,ES,1619619519,64,28.6835,-17.7642,71.6,5.75
412,91,NZ,1619619520,95,-46.1028,168.9436,50.0,3.0
413,100,CI,1619619520,69,4.423,-7.3528,85.28,10.29
414,82,ID,1619619521,72,-8.345,113.6058,76.86,2.39
415,75,PT,1619619521,88,38.7992,-9.4469,64.0,14.97
416,75,BR,1619619522,94,-6.9811,-34.8339,78.8,6.91
417,100,ID,1619619522,96,-2.5833,115.3833,74.46,1.9
418,83,PH,1619619523,70,17.0238,121.6357,76.82,3.6
419,40,PG,1619619524,79,-2.0226,147.2712,80.85,5.84
420,70,SB,1619619524,74,-8.103,156.8419,81.75,10.6
421,75,PH,1619619525,69,15.3274,120.9485,82.4,6.91
422,97,AF,1619619525,15,30.15,62.6,92.03,10.67
423,20,CU,1619619526,61,23.0375,-81.2047,82.4,9.22
424,1,US,1619619527,64,40.1254,-75.8749,73.99,10.76
425,100,JP,1619619527,82,28.3667,129.4833,66.87,10.49
426,13,SO,1619619528,71,9.4942,50.8122,85.28,11.95
427,100,NZ,1619619528,94,-45.4167,167.7167,48.18,2.84
428,1,MX,1619619529,60,18.7333,-103.6833,73.4,1.79
429,1,US,1619619530,71,44.6714,-103.8522,51.01,6.31
430,0,NC,1619619530,82,-22.2763,166.4572,75.0,9.69
431,4,IN,1619619531,8,26.6,82.1333,98.08,4.03
432,0,NO,1619619531,57,62.5833,6.1333,46.4,12.66
433,100,ZM,1619619532,61,-14.5566,30.8149,80.46,2.04
434,97,RU,1619619532,94,53.7189,46.0712,39.16,10.8
435,20,MZ,1619619533,58,-23.865,35.3833,86.0,6.91
